Time,Strain
-1.153808592875,-3.4035337528897835e-25
-1.15356445225,-9.450912003438379e-25
-1.153320311625,-1.5502438714505023e-24
-1.153076171,-2.1552552401691675e-24
-1.152832030375,-2.7595723476347396e-24
-1.15258788975,-3.3626403919800156e-24
-1.152343749125,-3.963897548950339e-24
-1.1520996085,-4.562771951784395e-24
-1.151855467875,-5.158682174828005e-24
-1.15161132725,-5.751040966649154e-24
-1.151367186625,-6.3392607467075004e-24
-1.151123046,-6.922759106395601e-24
-1.150878905375,-7.500963059104375e-24
-1.15063476475,-8.07331153630204e-24
-1.150390624125,-8.639256182461693e-24
-1.1501464835,-9.19826069384142e-24
-1.149902342875,-9.749798877802922e-24
-1.14965820225,-1.0293351575936817e-23
-1.149414061625,-1.0828402906395764e-23
-1.149169921,-1.1354436917109711e-23
-1.148925780375,-1.1870936177703896e-23
-1.14868163975,-1.2377383410072397e-23
-1.148437499125,-1.287326589362991e-23
-1.1481933585,-1.335808092178425e-23
-1.147949217875,-1.3831340170815137e-23
-1.14770507725,-1.4292571856229626e-23
-1.147460936625,-1.4741321145476855e-23
-1.147216796,-1.5177150149958446e-23
-1.146972655375,-1.559963830886634e-23
-1.14672851475,-1.6008382730150644e-23
-1.146484374125,-1.6402997291784414e-23
-1.1462402335,-1.6783109777388243e-23
-1.145996092875,-1.7148357729236647e-23
-1.14575195225,-1.749838500322681e-23
-1.145507811625,-1.7832841204749619e-23
-1.145263671,-1.8151384954200193e-23
-1.145019530375,-1.8453689924792327e-23
-1.14477538975,-1.8739451043902448e-23
-1.144531249125,-1.900838826706175e-23
-1.1442871085,-1.9260246973334568e-23
-1.144042967875,-1.9494796085306814e-23
-1.14379882725,-1.971182589675135e-23
-1.143554686625,-1.991114668015657e-23
-1.143310546,-2.0092587492791264e-23
-1.143066405375,-2.0255993950112937e-23
-1.14282226475,-2.0401224871089745e-23
-1.142578124125,-2.052814954466493e-23
-1.1423339835,-2.0636647994879138e-23
-1.142089842875,-2.072661509326047e-23
-1.14184570225,-2.0797966765254102e-23
-1.141601561625,-2.0850644982392203e-23
-1.141357421,-2.088461908996081e-23
-1.141113280375,-2.0899883617518415e-23
-1.14086913975,-2.089645498143307e-23
-1.140624999125,-2.0874369657614212e-23
-1.1403808585,-2.0833684444113224e-23
-1.140136717875,-2.0774477095982156e-23
-1.13989257725,-2.0696844952479893e-23
-1.139648436625,-2.060090088525861e-23
-1.139404296,-2.0486768605585688e-23
-1.139160155375,-2.0354580697818787e-23
-1.13891601475,-2.0204481332126308e-23
-1.138671874125,-2.0036632396215014e-23
-1.1384277335,-1.985121938208837e-23
-1.138183592875,-1.9648453730366713e-23
-1.13793945225,-1.9428571077648877e-23
-1.137695311625,-1.9191827527174546e-23
-1.137451171,-1.8938496505234133e-23
-1.137207030375,-1.866886699201254e-23
-1.13696288975,-1.8383241961336138e-23
-1.136718749125,-1.8081935672538406e-23
-1.1364746085,-1.7765270081943886e-23
-1.136230467875,-1.743357235072386e-23
-1.13598632725,-1.7087175482141425e-23
-1.135742186625,-1.6726422353645332e-23
-1.135498046,-1.635167120523166e-23
-1.135253905375,-1.5963299686207822e-23
-1.13500976475,-1.5561705489639022e-23
-1.134765624125,-1.514730368856446e-23
-1.1345214835,-1.472052267018468e-23
-1.134277342875,-1.4281800892815222e-23
-1.13403320225,-1.3831585443491482e-23
-1.133789061625,-1.3370331610890737e-23
-1.133544921,-1.2898501844887612e-23
